domain	crop	chosen_width	score_8192	score_10240	score_12288	score_14336	score_16384
code	0	10240	4.222346	1.761669	3.067127	2.907419	4.364243
code	1	10240	5.990499	1.130729	2.134902	2.528188	4.160623
code	2	10240	4.276443	1.80361	3.816807	3.191955	4.275563
code	3	10240	5.332697	2.493749	4.518213	3.971129	5.139041
code	4	10240	4.94325	1.898564	3.81743	3.717391	5.003521
code	5	10240	5.278023	3.299855	5.228252	4.665684	5.321948
code	6	10240	6.335022	4.768494	6.311829	6.187683	6.821838
code	7	10240	4.836076	3.09941	5.547677	4.410708	5.355133
code	8	10240	4.964656	1.609542	5.215921	4.135896	3.884046
code	9	10240	6.096967	0.345457	0.871983	1.496841	5.84491
code	10	10240	5.373199	1.819773	3.351249	3.313228	4.860228
code	11	10240	5.222486	2.071115	4.0172	3.674664	4.732956
code	12	10240	5.410398	3.626539	5.473903	5.051178	5.774246
code	13	10240	3.65419	2.190113	3.812991	3.021743	4.378221
code	14	10240	5.589621	0.31062	0.80696	1.592883	4.650848
code	15	10240	3.503547	1.436761	2.389488	2.114778	3.727091
code	16	10240	4.392045	1.448965	2.741081	2.552176	4.005452
code	17	10240	5.246771	2.448394	3.934754	3.707841	4.888553
code	18	10240	4.48697	1.676534	4.267851	3.794346	4.615139
code	19	10240	4.937027	0.499784	1.121107	1.402091	3.984211
code	20	10240	4.758683	2.273362	4.562159	3.687183	4.871899
code	21	10240	5.496786	0.784375	1.785467	1.843894	3.886137
code	22	10240	4.778084	2.38504	4.115877	3.954697	5.06424
code	23	10240	7.130929	0.369763	0.840143	1.349465	5.48468
code	24	10240	4.814325	2.511954	4.414452	3.912822	5.266479
code	25	10240	4.862669	0.310507	0.732609	1.134037	4.117057
code	26	10240	4.233945	2.936322	4.989599	3.899431	4.653145
code	27	10240	4.95866	1.834445	4.115056	4.056026	5.518036
code	28	10240	7.119515	3.839776	5.719898	5.506386	7.013748
code	29	10240	4.198613	1.616122	2.837017	2.444244	4.393543
code	30	10240	3.918612	1.063488	1.736991	1.905186	3.832222
code	31	10240	4.964238	2.120771	4.393805	3.786467	5.006493
code	32	10240	6.401602	1.222391	1.91558	2.119804	5.304718
code	33	10240	4.972198	3.295821	5.793839	4.521389	5.364838
code	34	10240	5.697699	1.201724	2.793491	2.982975	4.690565
code	35	10240	5.450239	1.768194	2.653528	2.914702	4.151108
code	36	10240	4.952131	1.822745	3.520376	3.17666	5.014178
code	37	10240	3.590562	1.99324	3.679581	3.34676	4.313099
code	38	10240	6.771908	1.339272	2.187186	2.709231	5.108604
code	39	10240	3.40801	1.211118	2.572106	2.39396	3.788101
code	40	10240	4.597367	2.809195	4.779488	4.216035	5.109146
code	41	10240	4.202016	3.063558	5.388615	3.911373	4.753212
code	42	10240	5.188628	3.108251	5.197737	4.47982	5.409306
code	43	10240	4.076315	1.801421	3.382153	2.777203	4.217587
code	44	10240	4.547882	3.088695	5.317727	4.158253	5.071218
code	45	10240	1.431067	1.196122	2.037689	1.320452	2.992964
code	46	10240	4.681793	1.411666	3.201522	3.085495	4.306198
code	47	10240	3.271083	1.212395	2.318916	2.329567	3.751629
code	48	10240	7.19437	0.738038	1.775223	2.242986	5.768935
code	49	10240	4.252439	2.975527	5.086519	4.00491	4.835468
code	50	10240	3.95755	1.48072	2.846068	2.681017	4.456493
code	51	10240	4.938983	0.560704	1.168684	1.575471	4.412006
code	52	10240	5.100404	3.11389	4.656988	4.244297	5.317588
