domain,own_width,fixed_width,oracle_width,sel_early_loss,fixed_ppl,online_ppl,oracle_ppl,joint_ppl,g1_fixed_is_oracle,online_acc_on_test,fixed_over_oracle,online_over_oracle
en,8192,8192,8192,0.9249921441078186,2.365240385397248,2.365240385397248,2.365240385397248,31.070195564842646,1,30/30,1.0,1.0
es,10240,10240,10240,0.9414803385734558,2.619782538717993,2.619782538717993,2.619782538717993,27.550343537218705,1,30/30,1.0,1.0
pl,12288,12288,12288,1.2316778898239136,3.1950195245345134,3.1950195245345134,3.1950195245345134,63.7072458369284,1,30/30,1.0,1.0
fr,14336,14336,14336,0.9279249310493469,2.4937944477767804,2.4937944477767804,2.4937944477767804,33.50206806150903,1,30/30,1.0,1.0
de,16384,16384,16384,1.1008063554763794,2.965079397985487,2.965079397985487,2.965079397985487,36.27436099960226,1,30/30,1.0,1.0
cs,18432,18432,18432,1.3036655187606812,3.7830981095825864,3.7830981095825864,3.7830981095825864,64.01278887422724,1,30/30,1.0,1.0
da,20480,20480,20480,1.096861481666565,2.931819308213523,2.931819308213523,2.931819308213523,35.50932613834147,1,30/30,1.0,1.0
pt,22528,22528,22528,1.117455005645752,2.8255986400452517,2.8255986400452517,2.8255986400452517,28.60986020938422,1,30/30,1.0,1.0
fi,24576,24576,24576,1.1729923486709595,3.4103148351843386,3.4103148351843386,3.4103148351843386,50.521165551996944,1,30/30,1.0,1.0
hu,26624,26624,26624,1.2682945728302002,3.066461488497379,3.066461488497379,3.066461488497379,74.83970990404913,1,30/30,1.0,1.0
bg,28672,28672,28672,1.911004900932312,6.563676631592012,6.563676631592012,6.563676631592012,249.05671584078158,1,30/30,1.0,1.0
it,30720,30720,30720,1.1317073106765747,3.0660729327273963,3.0660729327273963,3.0660729327273963,23.560130834566596,1,30/30,1.0,1.0
et,32768,32768,32768,1.2703335285186768,3.68132493530792,3.68132493530792,3.68132493530792,38.00488197135754,1,30/30,1.0,1.0
el,34816,34816,34816,1.9220921993255615,6.235995562927124,6.235995562927124,6.235995562927124,70.670688097048,1,30/30,1.0,1.0
sk,36864,36864,36864,1.432488203048706,3.636100418229655,3.636100418229655,3.636100418229655,46.299952886766015,1,30/30,1.0,1.0
sv,38912,38912,38912,1.2930068969726562,3.161870983147864,3.161870983147864,3.161870983147864,32.249679963596456,1,30/30,1.0,1.0
ro,40960,40960,40960,1.363141417503357,3.3203771244758826,3.3203771244758826,3.3203771244758826,26.538351616844782,1,30/30,1.0,1.0
nl,43008,43008,43008,1.1193822622299194,3.1579274229692076,3.1579274229692076,3.1579274229692076,25.750243422158793,1,30/30,1.0,1.0
sl,45056,45056,45056,1.3738914728164673,3.59557990176283,3.59557990176283,3.59557990176283,20.91971657339683,1,30/30,1.0,1.0
lt,47104,47104,47104,1.439380407333374,3.9723166761749082,3.9723166761749082,3.9723166761749082,3.9723166761749082,1,30/30,1.0,1.0
